part,sensor,state,sensorvalue,unit
 P0,Temp 1,Normal,30,Celsius
 P0,Temp 2,Normal,36,Celsius
 P0,Temp 3,Normal,34,Celsius
 P0,PEM In,Normal,1,A
 P0,PEM Out,Normal,4,A
 P0,In pwr,Normal,42,Watts
 P0,Out pwr,Normal,43,Watts
 P0,fan0,Normal,6496,RPM
 P1,Temp 1,Normal,30,Celsius
 P1,Temp 2,Normal,32,Celsius
 P1,Temp 3,Normal,32,Celsius
 P1,PEM In,Normal,1,A
 P1,PEM Out,Normal,3,A
 P1,In pwr,Normal,28,Watts
 P1,Out pwr,Normal,34,Watts
 P1,fan0,Normal,6688,RPM
 P2,fan0,Normal,9334,RPM
 P2,fan1,Normal,9432,RPM
 P2,fan2,Normal,9406,RPM
 P2,pwr,Normal,4,Watts
 R0,Inlet 1,Normal,26,Celsius
 R0,Inlet 2,Normal,32,Celsius
 R0,Outlet 1,Normal,33,Celsius
 R0,Outlet 2,Normal,35,Celsius
 R0,core-A,Normal,49,Celsius
 R0,core-B,Normal,43,Celsius
 R0,core-C,Normal,42,Celsius
 R0,5v,Normal,5049,mV
 R0,3.3v,Normal,3344,mV
 R0,3.0v,Normal,2976,mV
 R0,2.5v,Normal,2483,mV
 R0,1.05v,Normal,1057,mV
 R0,1.8v,Normal,1801,mV
 R0,1.2v,Normal,1218,mV
 R0,Vcore-C,Normal,1144,mV
 R0,1.1v,Normal,1099,mV
 R0,1.0v,Normal,1007,mV
 R0,1.8v-A,Normal,1777,mV
 R0,1.5v-A,Normal,1508,mV
 R0,1.5v-C1,Normal,1518,mV
 R0,1.5v-B,Normal,1497,mV
 R0,Vcore-A,Normal,991,mV
 R0,1.5v-C2,Normal,1497,mV
 R0,Vcore-B1,Normal,751,mV
 R0,Vcore-B2,Normal,901,mV
 R0,0.75v-B,Normal,751,mV
 R0,0.75v-C,Normal,759,mV
 R0,12v,Normal,4,A
 R0,pwr,Normal,45,Watts
