No,Hostname,Platform,Interface,CRC,Input Errors,Output Errors
1,xe1,CSR1000V,GigabitEthernet1,0,0,0
2,xe2,CSR1000V,GigabitEthernet1,0,0,0
1,xe1,CSR1000V,GigabitEthernet2,0,0,0
1,xe1,CSR1000V,GigabitEthernet3,0,0,0
2,xe2,CSR1000V,GigabitEthernet2,0,0,0
1,xe1,CSR1000V,GigabitEthernet4,0,0,0
2,xe2,CSR1000V,GigabitEthernet3,0,0,0
2,xe2,CSR1000V,Loopback0,0,0,0
1,xe1,CSR1000V,GigabitEthernet5,0,0,0
1,xe1,CSR1000V,GigabitEthernet6,0,0,0
1,xe1,CSR1000V,GigabitEthernet7,0,0,0
1,xe1,CSR1000V,Loopback0,0,0,0
3,xe3,CSR1000V,GigabitEthernet1,0,0,0
3,xe3,CSR1000V,GigabitEthernet2,0,0,0
3,xe3,CSR1000V,GigabitEthernet3,0,0,0
3,xe3,CSR1000V,Loopback0,0,0,0
