Syslog logging: enabled (0 messages dropped, 3 messages rate-limited, 0 flushes, 0 overruns, xml disabled, filtering disabled)

No Active Message Discriminator.



No Inactive Message Discriminator.


    Console logging: disabled
    Monitor logging: level debugging, 0 messages logged, xml disabled,
                     filtering disabled
    Buffer logging:  level debugging, 206 messages logged, xml disabled,
                    filtering disabled
    Exception Logging: size (4096 bytes)
    Count and timestamp logging messages: disabled
    Persistent logging: disabled

No active filter modules.

    Trap logging: level informational, 206 message lines logged
        Logging Source-Interface:       VRF Name:
    TLS Profiles: 

Log Buffer (131072 bytes):

*Mar  2 05:09:21.608: %VUDI-6-EVENT: [serial number: 99QQK0GW1PC], [vUDI: ], vUDI is successfully retrieved from license file
*Mar  2 05:09:21.915: %SMART_LIC-6-EXPORT_CONTROLLED: Usage of export controlled features is not allowed
*Mar  2 05:09:31.812: VXE-CSL-DBG:Unable to open the postFR backup file/file not present 

*Mar  2 05:09:32.990: %SMART_LIC-6-AGENT_READY: Smart Agent for Licensing is initialized
*Mar  2 05:09:32.991: %SMART_LIC-6-AGENT_ENABLED: Smart Agent for Licensing is enabled 
*Mar  2 05:09:32.993: %SMART_LIC-6-EXPORT_CONTROLLED: Usage of export controlled features is not allowed
*Mar  2 05:09:33.082: %VXE_THROUGHPUT-6-LEVEL: Throughput level has been set to 1000 kbps
*Mar  2 05:09:36.138: %VUDI-6-EVENT: [serial number: 99QQK0GW1PC], [vUDI: CSR1000V:99QQK0GW1PC], vUDI initialization is now complete
*Mar  2 05:09:36.509: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1, changed state to down
*Mar  2 05:09:36.556: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2, changed state to down
*Mar  2 05:09:36.610: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3, changed state to down
*Mar  2 05:09:37.246: BFD: brace register success
*Mar  2 05:09:46.057: %SPANTREE-5-EXTENDED_SYSID: Extended SysId enabled for type vlan
*Mar  2 05:09:46.678: %CRYPTO_ENGINE-4-CSDL_COMPLIANCE_DISABLED: Cisco PSB security compliance has been disabled
*Mar  2 05:09:46.872: %CUBE-3-LICENSING:  SIP trunking (CUBE) licensing is now based on dynamic sessions counting, static license capacity configuration through 'mode border-element license capacity' would be ignored.
*Mar  2 05:09:46.879: %SIP-5-LICENSING: CUBE license reporting period has been set to the minimum value of 8 hours.
*Mar  2 05:09:46.882: %VOICE_HA-7-STATUS: CUBE HA-supported platform detected.
*Mar  2 05:09:49.587: %LINK-3-UPDOWN: Interface Lsmpi0, changed state to up
*Mar  2 05:09:52.317: %PNP-6-PNP_DISCOVERY_STARTED: PnP Discovery started
*Mar  2 05:06:19.299: %BOOT-5-OPMODE_LOG: R0/0: binos: System booted in AUTONOMOUS mode
*Mar  2 05:09:52.738: %SMART_LIC-6-HA_ROLE_CHANGED: Smart Agent HA role changed to Active.
*Mar  2 05:09:59.388: %LINK-3-UPDOWN: Interface EOBC0, changed state to up
*Mar  2 05:09:59.390: %LINEPROTO-5-UPDOWN: Line protocol on Interface LI-Null0, changed state to up
*Mar  2 05:09:59.391: %LINEPROTO-5-UPDOWN: Line protocol on Interface VoIP-Null0, changed state to up
*Mar  2 05:09:59.393: %LINK-3-UPDOWN: Interface LIIN0, changed state to up
*Mar  2 05:09:59.394: %LINK-3-UPDOWN: Interface GigabitEthernet1, changed state to down
*Mar  2 05:09:59.408: %LINK-3-UPDOWN: Interface GigabitEthernet2, changed state to down
*Mar  2 05:09:59.417: %LINK-3-UPDOWN: Interface GigabitEthernet3, changed state to down
*Mar  2 05:09:59.433: %LINEPROTO-5-UPDOWN: Line protocol on Interface Lsmpi0, changed state to up
*Mar  2 05:10:00.484: %LINEPROTO-5-UPDOWN: Line protocol on Interface EOBC0, changed state to up
