Thu Mar  2 12:28:10.130 UTC
Syslog logging: enabled (0 messages dropped, 0 flushes, 0 overruns)
    Console logging: Disabled
    Monitor logging: level debugging, 0 messages logged
    Trap logging: level informational, 0 messages logged
    Buffer logging: level debugging, 162 messages logged

Log Buffer (2097152 bytes):

RP/0/RP0/CPU0:Mar  2 07:51:27.498 UTC: syslogd[153]: %SECURITY-XR_SSL-6-INFO : XR SSL info: Setting fips register 
RP/0/RP0/CPU0:Mar  2 07:51:27.939 UTC: platform_packet_partner[186]: Pakman memory region 0x10000000 .. 0x18000000, size 128Mb (32 scale)
RP/0/RP0/CPU0:Mar  2 07:51:33.941 UTC: spp[113]: Initialized socket RX node
RP/0/RP0/CPU0:Mar  2 07:51:33.941 UTC: spp[113]: Initialized socket TX node
RP/0/RP0/CPU0:Mar  2 07:51:33.941 UTC: spp[113]: Registered socket plugin
RP/0/RP0/CPU0:Mar  2 07:51:34.020 UTC: spp[113]: Initialized punt classification node
RP/0/RP0/CPU0:Mar  2 07:51:34.020 UTC: spp[113]: Initialized client inject node
RP/0/RP0/CPU0:Mar  2 07:51:34.020 UTC: spp[113]: Registered XRv9k SPP plugin
RP/0/RP0/CPU0:Mar  2 07:51:34.125 UTC: spp[113]: Opened UDP socket at 172.0.0.1:9920 (Punt/Inject crucial)
RP/0/RP0/CPU0:Mar  2 07:51:34.125 UTC: spp[113]: Opened UDP socket at 172.0.0.1:9921 (Punt/Inject high)
RP/0/RP0/CPU0:Mar  2 07:51:34.125 UTC: spp[113]: Opened UDP socket at 172.0.0.1:9922 (Punt/Inject medium)
RP/0/RP0/CPU0:Mar  2 07:51:34.125 UTC: spp[113]: Opened UDP socket at 172.0.0.1:9923 (Punt/Inject low)
RP/0/RP0/CPU0:Mar  2 07:51:34.143 UTC: spp[113]: Opened raw socket on eth0 (Management)
RP/0/RP0/CPU0:Mar  2 07:51:34.143 UTC: spp[113]: Successfully initialized socket devices
0/RP0/ADMIN0:Mar  2 07:52:21.199 UTC: vm_manager[3226]: %INFRA-VM_MANAGER-4-INFO : Info: vm_manager brought down VM default-sdr--2  
RP/0/RP0/CPU0:Mar  2 07:52:52.647 UTC: iedged[165]: %SUBSCRIBER-SUB_UTIL-5-SESSION_THROTTLE : Subscriber Infra is not ready. Reason: [V4 Subscriber infra process(es) is unavailable]. 
RP/0/RP0/CPU0:Mar  2 07:52:52.648 UTC: iedged[165]: %SUBSCRIBER-SUB_UTIL-5-SESSION_THROTTLE : Subscriber Infra is not ready. Reason: [V6 Subscriber infra process(es) is unavailable]. 
RP/0/RP0/CPU0:Mar  2 07:52:53.969 UTC: iedged[165]: %SUBSCRIBER-SUB_UTIL-5-SESSION_THROTTLE : Subscriber Infra is ready. Reason: [V6 Subscriber infra process(es) is available]. 
RP/0/RP0/CPU0:Mar  2 07:52:55.345 UTC: iedged[165]: %SUBSCRIBER-SUB_UTIL-5-SESSION_THROTTLE : Subscriber Infra is ready. Reason: [V4 Subscriber infra process(es) is available]. 
RP/0/RP0/CPU0:Mar  2 07:53:47.229 UTC: processmgr[51]: %OS-SYSMGR-7-DEBUG : tamsvcs_tamm(1) (jid 170) did not signal end of initialization   
0/RP0/ADMIN0:Mar  2 07:53:58.629 UTC: dumper[3198]: %INFRA-CALVADOS_DUMPER-6-HOST_COPY_SUCCESS : Copied host file /misc/scratch/core/default-sdr--2.20230302-074956.core.RP.lxcdump.tar.lz4 to 0/RP0:/misc/disk1  
0/RP0/ADMIN0:Mar  2 07:54:01.173 UTC: dumper[3198]: %INFRA-CALVADOS_DUMPER-6-HOST_REMV_SUCCESS : Deleted HostOS file /misc/scratch/core/default-sdr--2.20230302-074956.core.RP.lxcdump.tar.lz4   
RP/0/RP0/CPU0:Mar  2 07:54:04.861 UTC: iedged[165]: %SUBSCRIBER-SUB_UTIL-5-SESSION_THROTTLE : Subscriber Infra is not ready. Reason: [V6 Subscriber infra process(es) is unavailable]. 
RP/0/RP0/CPU0:Mar  2 07:54:06.863 UTC: iedged[165]: %SUBSCRIBER-SUB_UTIL-5-SESSION_THROTTLE : Subscriber Infra is ready. Reason: [V6 Subscriber infra process(es) is available]. 
0/RP0/ADMIN0:Mar  2 07:54:08.581 UTC: vm_manager[3226]: %INFRA-VM_MANAGER-4-INFO : Info: vm_manager started VM default-sdr--2  
RP/0/RP0/CPU0:Mar  2 07:54:09.478 UTC: netio[360]: FINT (IFH 00000010) interface specification received
RP/0/RP0/CPU0:Mar  2 07:54:09.478 UTC: netio[360]: Attached to IFH 00000010 IDB (FINT0_RP0_CPU0)
RP/0/RP0/CPU0:Mar  2 07:54:10.228 UTC: sysmgr_log[67449]: %OS-SYSMGR-7-CHECK_LOG : /pkg/bin/sysmgr_debug_script invoked for: (tamsvcs_tamm) process did not signal EOI and for level:100 . Output is in /var/log/sysmgr_debug/debug.node0_RP0_CPU0.5963.log 
RP/0/RP0/CPU0:Mar  2 07:54:11.895 UTC: iedged[165]: %SUBSCRIBER-SUB_UTIL-5-SESSION_THROTTLE : Subscriber Infra is not ready. Reason: [V4 Subscriber infra process(es) is unavailable]. 
RP/0/RP0/CPU0:Mar  2 07:54:13.789 UTC: iedged[165]: %SUBSCRIBER-SUB_UTIL-5-SESSION_THROTTLE : Subscriber Infra is not ready. Reason: [V6 Subscriber infra process(es) is unavailable]. 
RP/0/RP0/CPU0:Mar  2 07:54:15.503 UTC: ipsub_ma[361]: %SUBSCRIBER-SUB_UTIL-5-SESSION_THROTTLE : Subscriber Infra is not ready. Reason: [V4 Subscriber infra process(es) is unavailable]. 
RP/0/RP0/CPU0:Mar  2 07:54:15.503 UTC: ipsub_ma[361]: %SUBSCRIBER-SUB_UTIL-5-SESSION_THROTTLE : Subscriber Infra is not ready. Reason: [V6 Subscriber infra process(es) is unavailable]. 
RP/0/RP0/CPU0:Mar  2 07:54:15.575 UTC: cepki[317]: %SECURITY-PKI-6-LOG_INFO_DETAIL : FIPS POST Successful for  cepki 
RP/0/RP0/CPU0:Mar  2 07:54:19.847 UTC: pppoe_ma[416]: %SUBSCRIBER-SUB_UTIL-5-SESSION_THROTTLE : Subscriber Infra is not ready. Reason: [V4 Subscriber infra process(es) is unavailable]. 
RP/0/RP0/CPU0:Mar  2 07:54:19.847 UTC: pppoe_ma[416]: %SUBSCRIBER-SUB_UTIL-5-SESSION_THROTTLE : Subscriber Infra is not ready. Reason: [V6 Subscriber infra process(es) is unavailable]. 
RP/0/RP0/CPU0:Mar  2 07:54:23.350 UTC: ipsec_mp[123]: %SECURITY-IMP-6-PROC_READY : Process ipsec_mp is ready 
RP/0/RP0/CPU0:Mar  2 07:54:25.558 UTC: pim6[1258]: %ROUTING-PIM-5-HA_NOTICE : NSR not ready 
RP/0/RP0/CPU0:Mar  2 07:54:25.584 UTC: pim[1257]: %ROUTING-PIM-5-HA_NOTICE : NSR not ready 
RP/0/RP0/CPU0:Mar  2 07:54:26.227 UTC: cepki[317]: %SECURITY-CEPKI-6-KEY_INFO : One or more host keypairs exist. Not auto-generating keypairs. 
RP/0/RP0/CPU0:Mar  2 07:54:29.538 UTC: smartlicserver[226]: %LICENSE-SMART_LIC-6-EXPORT_CONTROLLED : Usage of export controlled features is not allowed 
RP/0/RP0/CPU0:Mar  2 07:54:29.678 UTC: smartlicserver[226]: %LICENSE-SMART_LIC-6-AGENT_READY : Smart Agent for Licensing is initialized 
RP/0/RP0/CPU0:Mar  2 07:54:29.678 UTC: smartlicserver[226]: %LICENSE-SMART_LIC-6-AGENT_ENABLED : Smart Agent for Licensing is enabled  
RP/0/RP0/CPU0:Mar  2 07:54:29.678 UTC: smartlicserver[226]: %LICENSE-SMART_LIC-6-EXPORT_CONTROLLED : Usage of export controlled features is not allowed 
RP/0/RP0/CPU0:Mar  2 07:54:36.602 UTC: script_agent_main[161]: %OS-SCRIPT_MGMT-6-PROCESS_START : ScriptAgent: Start :: Mode: Active 
RP/0/RP0/CPU0:Mar  2 07:54:37.002 UTC: script_watcher_main[291]: %OS-SCRIPT_MGMT-6-PROCESS_START : ScriptWatcher: Start :: Mode: Active 
RP/0/RP0/CPU0:Mar  2 07:54:38.363 UTC: pyztp2[191]: %INFRA-ZTP-6-START : ZTP has started. Interfaces might be brought up if they are shutdown 
RP/0/RP0/CPU0:Mar  2 07:54:38.979 UTC: sys_rec[1286]: %SECURITY-SYSTEM_RECOVERY-6-DISABLED : System recovery disabled 
RP/0/RP0/CPU0:Mar  2 07:54:44.302 UTC: ospf[1027]: %ROUTING-OSPF-5-HA_NOTICE_START : Starting OSPF 
0/RP0/ADMIN0:Mar  2 07:54:44.473 UTC: aaad[3188]: %MGBL-AAAD-7-DEBUG :  Not allowing to sync from XR VM to Admin VM after first user creation.   
RP/0/RP0/CPU0:Mar  2 07:54:44.817 UTC: ospf[1027]: %ROUTING-OSPF-6-HA_INFO : Process 1: OSPF process initialization complete 
RP/0/RP0/CPU0:Mar  2 07:54:44.861 UTC: ospf[1027]: %ROUTING-OSPF-5-HA_NOTICE : Process 1: Signaled PROC_AVAILABLE 
RP/0/RP0/CPU0:Mar  2 07:54:46.418 UTC: iedged[165]: %SUBSCRIBER-SUB_UTIL-5-SESSION_THROTTLE : Subscriber Infra is ready. Reason: [V4 Subscriber infra process(es) is available]. 
RP/0/RP0/CPU0:Mar  2 07:54:46.419 UTC: ipsub_ma[361]: %SUBSCRIBER-SUB_UTIL-5-SESSION_THROTTLE : Subscriber Infra is ready. Reason: [V4 Subscriber infra process(es) is available]. 
RP/0/RP0/CPU0:Mar  2 07:54:46.419 UTC: pppoe_ma[416]: %SUBSCRIBER-SUB_UTIL-5-SESSION_THROTTLE : Subscriber Infra is ready. Reason: [V4 Subscriber infra process(es) is available]. 
RP/0/RP0/CPU0:Mar  2 07:54:46.867 UTC: ifmgr[128]: %PKT_INFRA-LINK-5-CHANGED : Interface MgmtEth0/RP0/CPU0/0, changed state to Administratively Down 
RP/0/RP0/CPU0:Mar  2 07:54:46.871 UTC: cfgmgr-rp[157]: %MGBL-CONFIG-6-OIR_RESTORE : Configuration for node '0/RP0/CPU0' has been restored. 
RP/0/RP0/CPU0:Mar  2 07:54:47.268 UTC: smartlicserver[226]: %LICENSE-SMART_LIC-6-EXPORT_CONTROLLED : Usage of export controlled features is not allowed 
RP/0/RP0/CPU0:Mar  2 07:54:48.445 UTC: pppoe_ma[416]: %SUBSCRIBER-SUB_UTIL-5-SESSION_THROTTLE : Subscriber Infra is ready. Reason: [V6 Subscriber infra process(es) is available]. 
RP/0/RP0/CPU0:Mar  2 07:54:48.445 UTC: ipsub_ma[361]: %SUBSCRIBER-SUB_UTIL-5-SESSION_THROTTLE : Subscriber Infra is ready. Reason: [V6 Subscriber infra process(es) is available]. 
RP/0/RP0/CPU0:Mar  2 07:54:48.445 UTC: iedged[165]: %SUBSCRIBER-SUB_UTIL-5-SESSION_THROTTLE : Subscriber Infra is ready. Reason: [V6 Subscriber infra process(es) is available]. 
RP/0/RP0/CPU0:Mar  2 07:54:52.514 UTC: plat_sl_client[120]: %LICENSE-PLAT_CLIENT-6-STATE_CHANGE : Licensing platform state changing from UNKNOWN to UNREGISTERED 
LC/0/0/CPU0:Mar  2 07:54:52.740 UTC: spp[117]: Initialized socket RX node
LC/0/0/CPU0:Mar  2 07:54:52.740 UTC: spp[117]: Initialized socket TX node
LC/0/0/CPU0:Mar  2 07:54:52.740 UTC: spp[117]: Registered socket plugin
LC/0/0/CPU0:Mar  2 07:54:52.766 UTC: spp[117]: Initialized punt classification node
LC/0/0/CPU0:Mar  2 07:54:52.766 UTC: spp[117]: Initialized client inject node
LC/0/0/CPU0:Mar  2 07:54:52.766 UTC: spp[117]: Registered XRv9k SPP plugin
LC/0/0/CPU0:Mar  2 07:54:52.854 UTC: spp[117]: Opened UDP socket at 172.0.0.17:9920 (Punt/Inject crucial)
LC/0/0/CPU0:Mar  2 07:54:52.854 UTC: spp[117]: Opened UDP socket at 172.0.0.17:9921 (Punt/Inject high)
LC/0/0/CPU0:Mar  2 07:54:52.854 UTC: spp[117]: Opened UDP socket at 172.0.0.17:9922 (Punt/Inject medium)
LC/0/0/CPU0:Mar  2 07:54:52.854 UTC: spp[117]: Opened UDP socket at 172.0.0.17:9923 (Punt/Inject low)
LC/0/0/CPU0:Mar  2 07:54:52.854 UTC: spp[117]: Successfully initialized socket devices
LC/0/0/CPU0:Mar  2 07:54:54.059 UTC: /pkg/sbin/sysmgr_log[69540]: %OS-SYSMGR-7-CHECK_LOG : prior abnormal shutdown from Mar 2 07:49. Log: /disk0:/shutdown/node0_0_CPU0.log.gz 
RP/0/RP0/CPU0:Mar  2 07:54:59.355 UTC: smartlicserver[226]: %LICENSE-SMART_LIC-5-EVAL_START : Entering evaluation period 
LC/0/0/CPU0:Mar  2 07:55:04.166 UTC: fsm[194]: fsm_fsmidb_mutex_init - Creating mutex...
LC/0/0/CPU0:Mar  2 07:55:04.166 UTC: fsm[194]: fsm_fsmidb_mutex_init - mutex created...
LC/0/0/CPU0:Mar  2 07:55:04.237 UTC: fsm[194]: main - L2VNP stats init
RP/0/RP0/CPU0:Mar  2 07:55:05.548 UTC: pyztp2[191]: %INFRA-ZTP-6-USERNAME_CONFIGURED : ZTP will abort as username is configured. Do not configure router until ZTP exited message is seen. 
