No,Hostname,Name,PID,SN
1,xe2,Chassis,CSR1000V,93HP7YX6HKX
2,xe2,module R0,CSR1000V,JAB1303001C
3,xe2,module F0,CSR1000V,
1,xe1,Chassis,CSR1000V,99QQK0GW1PC
2,xe1,module R0,CSR1000V,JAB1303001C
3,xe1,module F0,CSR1000V,
1,xe3,Chassis,CSR1000V,9CD5QB9ETUH
2,xe3,module R0,CSR1000V,JAB1303001C
3,xe3,module F0,CSR1000V,
1,xr2,0/0,R-IOSXRV9000-LC-C,9619E73F1F7
2,xr2,0/0/0,PORT-1G-NIC,N
3,xr2,0/0/1,PORT-1G-NIC,N
4,xr2,0/0/2,PORT-1G-NIC,N
5,xr2,0/0/3,PORT-1G-NIC,N
6,xr2,0/0/4,PORT-1G-NIC,N
7,xr2,0/0/5,PORT-1G-NIC,N
8,xr2,0/0/6,PORT-1G-NIC,N
9,xr2,0/RP0,R-IOSXRV9000-RP-C,4A3237D4C76
10,xr2,Rack 0,R-IOSXRV9000-CC,B99383FF3EB
1,xr1,0/0,R-IOSXRV9000-LC-C,06B08130FB9
2,xr1,0/0/0,PORT-1G-NIC,N
3,xr1,0/0/1,PORT-1G-NIC,N
4,xr1,0/0/2,PORT-1G-NIC,N
5,xr1,0/0/3,PORT-1G-NIC,N
6,xr1,0/0/4,PORT-1G-NIC,N
7,xr1,0/0/5,PORT-1G-NIC,N
8,xr1,0/0/6,PORT-1G-NIC,N
9,xr1,0/RP0,R-IOSXRV9000-RP-C,86BBCBE65F1
10,xr1,Rack 0,R-IOSXRV9000-CC,07DB884D057
